Frame: 0, Class ID: 3, Track ID: 1, Confidence: 0.8809494972229004, BBox: [[548.76611328125, 75.08912658691406, 651.3012084960938, 199.12039184570312]]
Frame: 0, Class ID: 3, Track ID: 2, Confidence: 0.8511397838592529, BBox: [[625.2572021484375, 420.8870849609375, 683.8026733398438, 480.8757019042969]]
Frame: 0, Class ID: 4, Track ID: 3, Confidence: 0.8703094124794006, BBox: [[657.704833984375, 533.0849609375, 794.2085571289062, 671.8693237304688]]
Frame: 0, Class ID: 4, Track ID: 4, Confidence: 0.8946707844734192, BBox: [[323.7855224609375, 45.25032043457031, 392.3714294433594, 162.8311767578125]]
Frame: 1, Class ID: 3, Track ID: 1, Confidence: 0.8818930983543396, BBox: [[546.4197387695312, 80.885498046875, 649.5704345703125, 202.5917510986328]]
Frame: 1, Class ID: 3, Track ID: 2, Confidence: 0.859010636806488, BBox: [[619.7697143554688, 424.908935546875, 682.722412109375, 486.400146484375]]
Frame: 1, Class ID: 4, Track ID: 3, Confidence: 0.8775516152381897, BBox: [[657.8953247070312, 538.6425170898438, 790.7329711914062, 672.9412841796875]]
Frame: 1, Class ID: 4, Track ID: 4, Confidence: 0.8919366598129272, BBox: [[321.31646728515625, 49.97983169555664, 391.83013916015625, 167.30262756347656]]
Frame: 2, Class ID: 3, Track ID: 1, Confidence: 0.8793700337409973, BBox: [[544.766357421875, 85.57441711425781, 647.3834228515625, 206.598388671875]]
Frame: 2, Class ID: 3, Track ID: 2, Confidence: 0.8564968705177307, BBox: [[616.7166748046875, 429.99310302734375, 679.979248046875, 491.11932373046875]]
Frame: 2, Class ID: 4, Track ID: 3, Confidence: 0.8825038075447083, BBox: [[651.586181640625, 543.5897827148438, 788.5742797851562, 678.67333984375]]
Frame: 2, Class ID: 4, Track ID: 4, Confidence: 0.8911067247390747, BBox: [[316.7454833984375, 54.954647064208984, 390.0312805175781, 172.8300323486328]]
Frame: 3, Class ID: 3, Track ID: 1, Confidence: 0.8776821494102478, BBox: [[543.8268432617188, 92.10440063476562, 644.201416015625, 212.04385375976562]]
Frame: 3, Class ID: 3, Track ID: 2, Confidence: 0.8515174984931946, BBox: [[615.0276489257812, 435.1228942871094, 678.2796020507812, 496.349853515625]]
Frame: 3, Class ID: 4, Track ID: 3, Confidence: 0.8730657696723938, BBox: [[648.47265625, 548.6654052734375, 786.3577270507812, 684.4618530273438]]
Frame: 3, Class ID: 4, Track ID: 4, Confidence: 0.8929239511489868, BBox: [[313.4999694824219, 59.41526794433594, 383.9866027832031, 176.66612243652344]]
Frame: 4, Class ID: 3, Track ID: 1, Confidence: 0.8727027177810669, BBox: [[542.761474609375, 97.2160415649414, 641.4533081054688, 217.35623168945312]]
Frame: 4, Class ID: 3, Track ID: 2, Confidence: 0.8577789664268494, BBox: [[613.1250610351562, 440.3283386230469, 675.9470825195312, 502.01776123046875]]
Frame: 4, Class ID: 4, Track ID: 3, Confidence: 0.8748347759246826, BBox: [[646.7142944335938, 553.1690673828125, 784.555419921875, 690.25]]
Frame: 4, Class ID: 4, Track ID: 4, Confidence: 0.8939376473426819, BBox: [[311.9333190917969, 63.687686920166016, 380.05706787109375, 181.3013458251953]]
Frame: 5, Class ID: 3, Track ID: 1, Confidence: 0.8685245513916016, BBox: [[540.25537109375, 102.3702392578125, 638.9141845703125, 222.37075805664062]]
Frame: 5, Class ID: 3, Track ID: 2, Confidence: 0.8585743308067322, BBox: [[610.3076171875, 445.73870849609375, 673.0223999023438, 507.50103759765625]]
Frame: 5, Class ID: 4, Track ID: 3, Confidence: 0.8807806968688965, BBox: [[643.7244262695312, 557.753662109375, 781.8836669921875, 695.384521484375]]
Frame: 5, Class ID: 4, Track ID: 4, Confidence: 0.8914716243743896, BBox: [[310.9934997558594, 69.8197250366211, 376.6455383300781, 186.30621337890625]]
Frame: 6, Class ID: 3, Track ID: 1, Confidence: 0.8800117373466492, BBox: [[537.4959716796875, 107.86292266845703, 637.0081176757812, 227.62095642089844]]
Frame: 6, Class ID: 3, Track ID: 2, Confidence: 0.8642654418945312, BBox: [[607.416259765625, 450.9219055175781, 670.930419921875, 512.8839111328125]]
Frame: 6, Class ID: 4, Track ID: 3, Confidence: 0.8682266473770142, BBox: [[642.51513671875, 563.7615356445312, 778.7777099609375, 700.1786499023438]]
Frame: 6, Class ID: 4, Track ID: 4, Confidence: 0.8932741284370422, BBox: [[309.19134521484375, 74.82037353515625, 372.43572998046875, 192.97300720214844]]
Frame: 7, Class ID: 3, Track ID: 1, Confidence: 0.8827689290046692, BBox: [[533.6400146484375, 111.787841796875, 635.9813232421875, 234.8951416015625]]
Frame: 7, Class ID: 3, Track ID: 2, Confidence: 0.8570636510848999, BBox: [[605.0084228515625, 456.26910400390625, 669.1766967773438, 518.7313842773438]]
Frame: 7, Class ID: 4, Track ID: 3, Confidence: 0.8638090491294861, BBox: [[641.899658203125, 569.4620361328125, 776.748046875, 705.746337890625]]
Frame: 7, Class ID: 4, Track ID: 4, Confidence: 0.895798921585083, BBox: [[307.0843200683594, 80.26197052001953, 372.2509460449219, 198.43301391601562]]
Frame: 8, Class ID: 3, Track ID: 1, Confidence: 0.8785785436630249, BBox: [[529.9766235351562, 116.89815521240234, 633.469482421875, 240.00030517578125]]
Frame: 8, Class ID: 3, Track ID: 2, Confidence: 0.8598740696907043, BBox: [[603.0221557617188, 461.60076904296875, 667.6987915039062, 524.3977661132812]]
Frame: 8, Class ID: 4, Track ID: 3, Confidence: 0.8823301196098328, BBox: [[638.3496704101562, 573.7962646484375, 774.2371215820312, 709.6084594726562]]
